Element,Concentration,New_Region
Manganese,0,"102,0.25"
Iron,0.08028,"102,0.25"
Nickel,0.00116338,"102,0.25"
Oxygen,0.59547,"102,0.25"
Magnesium,0.161774,"102,0.25"
Aluminum,0.00867388,"102,0.25"
Silicon,0.194573,"102,0.25"
Phosphorus,0,"102,0.25"
Sulfur,0.00198941,"102,0.25"
Potassium,0.000543907,"102,0.25"
Calcium,0.00371426,"102,0.25"
Titanium,0.000443983,"102,0.25"
Chromium,0.00163591,"102,0.25"
Manganese,0.000774182,"102,0.25"
Iron,0.0293203,"102,0.25"
Nickel,0.00108707,"102,0.25"
Oxygen,0.552043,"102,0.25"
Magnesium,0.190745,"102,0.25"
Aluminum,0.00868701,"102,0.25"
Silicon,0.149298,"102,0.25"
Phosphorus,0,"102,0.25"
Sulfur,0,"102,0.25"
Potassium,0.000599204,"102,0.25"
Calcium,0.00175366,"102,0.25"
Titanium,0,"102,0.25"
Chromium,0.00540666,"102,0.25"
Manganese,0.000852889,"102,0.25"
Iron,0.0868357,"102,0.25"
Nickel,0.00119759,"102,0.25"
Germanium,0.00258205,"102,0.25"
Oxygen,0.5652,"102,0.25"
Magnesium,0.185438,"119,0.0"
Aluminum,0.0034837,"119,0.25"
Silicon,0.144662,"119,0.5"
Phosphorus,0,"119,0.75"
Sulfur,0,"120,0.0"
Potassium,0,"120,0.25"
Calcium,0.00234419,"120,0.5"
Titanium,0,"120,0.75"
Chromium,0,"121,0.0"
Manganese,0,"121,0.25"
Iron,0.0895814,"121,0.5"
Nickel,0.00120066,"121,0.75"
Germanium,0.00808955,"122,0.0"
Oxygen,0.614111,"122,0.25"
Sodium,0.0176072,"122,0.5"
Magnesium,0.0517076,"122,0.75"
Aluminum,0.0711258,"122,0.75"
Silicon,0.182865,"122,0.75"
Phosphorus,0,"122,0.75"
Sulfur,0,"122,0.75"
Potassium,0.00109023,"122,0.75"
Calcium,0.0436066,"122,0.75"
Titanium,0.00133491,"122,0.75"
Chromium,0.00204943,"122,0.75"
Manganese,0.00116385,"122,0.75"
Iron,0.0129754,"122,0.75"
Nickel,0.000363163,"122,0.75"
Oxygen,0.585762,"122,0.75"
Magnesium,0.140134,"122,0.75"
Aluminum,0.0196378,"122,0.75"
Silicon,0.153298,"122,0.75"
Phosphorus,0,"122,0.75"
Sulfur,0.00502627,"122,0.75"
Calcium,0.00919261,"122,0.75"
Titanium,0,"122,0.75"
Chromium,0.00132851,"122,0.75"
Manganese,0,"122,0.75"
Iron,0.0828742,"122,0.75"
Nickel,0.00274651,"122,0.75"
Oxygen,0.607702,"122,0.75"
Magnesium,0.175607,"122,0.75"
Aluminum,0.0053809,"122,0.75"
Silicon,0.188203,"122,0.75"
Phosphorus,0,"122,0.75"
Sulfur,0,"122,0.75"
Potassium,0,"122,0.75"
Calcium,0.00258631,"122,0.75"
Titanium,0,"122,0.75"
Chromium,0.00159476,"122,0.75"
Manganese,0.000754709,"122,0.75"
Iron,0.0178179,"122,0.75"
Nickel,0.000353243,"122,0.75"
Oxygen,0.597263,"122,0.75"
Sodium,0.0222087,"122,0.75"
Magnesium,0.0350055,"122,0.75"
Aluminum,0.0915412,"122,0.75"
Silicon,0.209878,"122,0.75"
Phosphorus,0,"122,0.75"
Sulfur,0.000663652,"122,0.75"
Potassium,0.00217732,"122,0.75"
Calcium,0.025489,"122,0.75"
Titanium,0.000888656,"122,0.75"
Chromium,0.000409295,"122,0.75"
Manganese,0.000774784,"134,0.75"
Iron,0.0133378,"135,0.0"
Nickel,0.00036264,"135,0.25"
Oxygen,0.351622,"135,0.5"
Magnesium,0.411768,"135,0.75"
Aluminum,0.0150192,"136,0.0"
Silicon,0.206692,"136,0.25"
Phosphorus,0.00435839,"136,0.5"
Sulfur,0.00140342,"136,0.75"
Potassium,0.000575545,"137,0.0"
Calcium,0.00168442,"137,0.25"
Titanium,0,"137,0.5"
Chromium,0,"137,0.75"
Manganese,0.00163843,"138,0.0"
Iron,0.00523813,"138,0.25"
Nickel,0,"138,0.5"
Oxygen,0.572457,"138,0.75"
Magnesium,0.23149,"139,0.0"
Aluminum,0.00240859,"139,0.25"
Silicon,0.142607,"139,0.5"
Phosphorus,0,"139,0.5"
Sulfur,0.00135037,"139,0.5"
Potassium,0,"139,0.5"
Calcium,0.00162075,"139,0.5"
Titanium,0,"139,0.5"
Chromium,0.000416408,"139,0.5"
Manganese,0,"139,0.5"
Iron,0.046912,"139,0.5"
Nickel,0.000737884,"139,0.5"
Oxygen,0.588658,"139,0.5"
Sodium,0.000918164,"139,0.5"
Magnesium,0.173666,"139,0.5"
Aluminum,0.0086131,"139,0.5"
Silicon,0.197721,"139,0.5"
Phosphorus,0,"139,0.5"
Sulfur,0,"139,0.5"
Potassium,0.000540096,"139,0.5"
Calcium,0.00368823,"139,0.5"
Titanium,0,"139,0.5"
Chromium,0.00162444,"139,0.5"
Manganese,0.000768757,"139,0.5"
Iron,0.0234432,"139,0.5"
Nickel,0.000359819,"139,0.5"
Oxygen,0.567834,"139,0.5"
Sodium,0,"139,0.5"
Magnesium,0.228646,"139,0.5"
Aluminum,0.0024352,"139,0.5"
Silicon,0.144962,"139,0.5"
Phosphorus,0,"139,0.5"
Sulfur,0,"139,0.5"
Potassium,0,"139,0.5"
Calcium,0.00163865,"139,0.5"
Titanium,0,"139,0.5"
Chromium,0.000421008,"139,0.5"
Manganese,0.000398478,"139,0.5"
Iron,0.0529181,"139,0.5"
Nickel,0.000746035,"139,0.5"
Oxygen,0.584564,"139,0.5"
Magnesium,0.140192,"139,0.5"
Aluminum,0.0196459,"139,0.5"
Silicon,0.153361,"139,0.5"
Phosphorus,0.000743609,"139,0.5"
Sulfur,0.00431001,"139,0.5"
Potassium,0.000589181,"139,0.5"
Calcium,0.00919641,"139,0.5"
Titanium,0,"139,0.5"
Chromium,0.00132906,"139,0.5"
Manganese,0,"139,0.5"
Iron,0.0833209,"139,0.5"
Nickel,0.00274764,"139,0.5"
Oxygen,0.565831,"139,0.5"
Sodium,0.0189697,"139,0.5"
Magnesium,0.0565113,"139,0.5"
Aluminum,0.0946375,"139,0.5"
Silicon,0.210463,"139,0.5"
Phosphorus,0,"139,0.5"
Sulfur,0.00136047,"139,0.5"
Potassium,0.0016738,"139,0.5"
Calcium,0.0261259,"139,0.5"
Titanium,0.000910862,"139,0.5"
Chromium,0.00125857,"139,0.5"
Manganese,0.000794145,"155,0.0"
Iron,0.0210925,"155,0.25"
Nickel,0.000371701,"155,0.5"
Oxygen,0.569764,"155,0.75"
Sodium,0,"156,0.0"
Magnesium,0.243166,"156,0.25"
Aluminum,0.0031664,"156,0.5"
Silicon,0.143647,"156,0.75"
Phosphorus,0,"157,0.0"
Sulfur,0.000665715,"157,0.25"
Potassium,0,"157,0.5"
Calcium,0.00213069,"157,0.75"
Titanium,0,"158,0.0"
Chromium,0.000410567,"158,0.25"
Manganese,0.000388596,"158,0.5"
Iron,0.0359329,"158,0.75"
Nickel,0.000727534,"159,0.0"
Oxygen,0.588981,"159,0.25"
Sodium,0.000910503,"159,0.25"
Magnesium,0.178244,"159,0.25"
Aluminum,0.00621181,"159,0.25"
Silicon,0.201289,"159,0.25"
Phosphorus,0,"159,0.25"
Sulfur,0.000652995,"159,0.25"
Potassium,0,"159,0.25"
Calcium,0.00261247,"159,0.25"
Titanium,0,"159,0.25"
Chromium,0.00161089,"159,0.25"
Manganese,0.000381171,"159,0.25"
Iron,0.018748,"159,0.25"
Nickel,0.000356817,"159,0.25"
Oxygen,0.567309,"159,0.25"
Sodium,0,"159,0.25"
Magnesium,0.254593,"159,0.25"
Aluminum,0.00234262,"159,0.25"
Silicon,0.1447,"163,0.75"
Phosphorus,0,"164,0.0"
Sulfur,0.000656695,"164,0.25"
Potassium,0,"164,0.5"
Calcium,0.00210182,"164,0.75"
Titanium,0,"165,0.0"
Chromium,0.000405004,"165,0.25"
Manganese,0.000383331,"165,0.5"
Iron,0.0271501,"165,0.75"
Nickel,0.000358838,"166,0.0"
Oxygen,0.570412,"166,0.25"
Sodium,0,"166,0.5"
Magnesium,0.198398,"166,0.75"
Aluminum,0.00253166,"167,0.0"
Silicon,0.144222,"167,0.25"
Phosphorus,0,"167,0.5"
Sulfur,0.00141937,"167,0.75"
Potassium,0,"168,0.0"
Calcium,0.00113571,"168,0.25"
Titanium,0,"168,0.5"
Chromium,0.000437684,"168,0.75"
Manganese,0,"169,0.0"
Iron,0.08028,"169,0.25"
Nickel,0.00116338,"169,0.5"
Oxygen,0.593968,"169,0.5"
Sodium,0.00185289,"169,0.5"
Magnesium,0.16209,"169,0.5"
Aluminum,0.0086908,"169,0.5"
Silicon,0.194194,"169,0.5"
Phosphorus,0,"169,0.5"
Sulfur,0.00199329,"169,0.5"
Potassium,0.000544968,"169,0.5"
Calcium,0.0037215,"169,0.5"
Titanium,0.000444849,"169,0.5"
Chromium,0.0016391,"169,0.5"
Manganese,0.000775692,"169,0.5"
Iron,0.028996,"169,0.5"
Nickel,0.00108919,"169,0.5"
Oxygen,0.553992,"173,0.25"
Sodium,0.00101151,"173,0.5"
Magnesium,0.191322,"173,0.75"
Aluminum,0.00862616,"174,0.0"
Silicon,0.14908,"174,0.25"
Phosphorus,0,"174,0.5"
Sulfur,0,"174,0.75"
Potassium,0.000595006,"175,0.0"
Calcium,0.00174137,"175,0.25"
Titanium,0,"175,0.5"
Chromium,0.00536879,"175,0.75"
Manganese,0.000846915,"176,0.0"
Iron,0.0862274,"176,0.25"
Nickel,0.0011892,"176,0.5"
Oxygen,0.569474,"176,0.75"
Sodium,0,"177,0.0"
Magnesium,0.186376,"177,0.25"
Aluminum,0.00342986,"177,0.5"
Silicon,0.14572,"177,0.75"
Phosphorus,0,"178,0.0"
Sulfur,0,"178,0.25"
Potassium,0,"178,0.5"
Calcium,0.00230797,"178,0.75"
Titanium,0,"178,0.75"
Chromium,0,"178,0.75"
Manganese,0,"178,0.75"
Iron,0.0915097,"178,0.75"
Nickel,0.0011821,"178,0.75"
Oxygen,0.614111,"178,0.75"
Sodium,0.0176072,"178,0.75"
Magnesium,0.0517076,"178,0.75"
Aluminum,0.0711258,"178,0.75"
Silicon,0.182865,"178,0.75"
Phosphorus,0,"178,0.75"
Sulfur,0,"178,0.75"
Potassium,0.00109023,"178,0.75"
Calcium,0.0436066,"178,0.75"
Titanium,0.00133491,"178,0.75"
Chromium,0.00204943,"178,0.75"
Manganese,0.00116385,"178,0.75"
Iron,0.0129754,"178,0.75"
Nickel,0.000363163,"178,0.75"
Oxygen,0.585762,"183,0.75"
Magnesium,0.140134,"184,0.0"
Aluminum,0.0196378,"184,0.25"
Silicon,0.153298,"184,0.5"
Phosphorus,0,"184,0.75"
Sulfur,0.00502627,"185,0.0"
Calcium,0.00919261,"185,0.25"
Titanium,0,"185,0.5"
Chromium,0.00132851,"185,0.75"
Manganese,0,"186,0.0"
Iron,0.0828742,"186,0.25"
Nickel,0.00274651,"186,0.5"
Oxygen,0.607155,"186,0.75"
Sodium,0.000900573,"187,0.0"
Magnesium,0.175449,"187,0.25"
Aluminum,0.00537606,"187,0.5"
Silicon,0.188033,"187,0.75"
Phosphorus,0,"188,0.0"
Sulfur,0,"188,0.0"
Potassium,0,"188,0.0"
Calcium,0.00258398,"188,0.0"
Titanium,0,"188,0.0"
Chromium,0.00159332,"188,0.0"
Manganese,0.000754029,"188,0.0"
Iron,0.0178018,"188,0.0"
Nickel,0.000352925,"188,0.0"
Oxygen,0.597263,"188,0.0"
Sodium,0.0222087,"188,0.0"
Magnesium,0.0350055,"188,0.0"
Aluminum,0.0915412,"188,0.0"
Silicon,0.209878,"191,0.25"
Phosphorus,0,"191,0.5"
